SiteID,995572,Site Timezone,-7,Data Timezone,0,Longitude,-105.07324,Latitude,40.578228
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 140m (m/s),wind speed at 120m (m/s),wind speed at 180m (m/s),wind speed at 200m (m/s),wind speed at 300m (m/s),wind speed at 500m (m/s)
2014,1,1,0,0,11.3,6.59,8.68,5.58,5.0600000000000005,2.82,0.28
2014,1,1,1,0,12.120000000000001,10.67,11.49,7.890000000000001,7.28,4.47,0.56
2014,1,1,2,0,9.67,9.16,9.450000000000001,8.01,7.55,4.93,0.5
2014,1,1,3,0,12.42,9.49,11.02,6.0200000000000005,5.55,2.87,2.58
2014,1,1,4,0,3.16,2.42,2.66,2.93,3.41,6.57,13.73
2014,1,1,5,0,16.13,20.76,18.55,23.87,24.95,28.2,30.54
2014,1,1,6,0,22.3,24.8,23.63,26.23,26.68,27.740000000000002,28.19
2014,1,1,7,0,18.46,20.48,19.51,21.98,22.66,26.150000000000002,30.86
2014,1,1,8,0,22.06,24.86,23.55,26.62,27.26,29.3,29.72
2014,1,1,9,0,20.87,23.48,22.25,25.32,26.04,28.38,29.310000000000002
2014,1,1,10,0,17.67,21.8,19.84,24.73,25.810000000000002,28.580000000000002,28.55
2014,1,1,11,0,19.86,22.56,21.29,24.400000000000002,25.060000000000002,26.67,26.830000000000002
2014,1,1,12,0,13.93,15.63,14.82,16.93,17.53,20.26,24.3
2014,1,1,13,0,12.9,14.98,13.97,16.7,17.47,20.56,25.22
2014,1,1,14,0,17.28,19.66,18.54,21.39,22.12,25.150000000000002,28.68
2014,1,1,15,0,15.08,16.9,16.04,18.21,18.740000000000002,20.75,24.69
2014,1,1,16,0,12.25,13.89,13.1,15.200000000000001,15.780000000000001,18.31,22.31
2014,1,1,17,0,9.78,11.38,10.59,12.790000000000001,13.41,15.950000000000001,18.92
2014,1,1,18,0,10.73,12.39,11.6,13.620000000000001,14.19,16.5,19.37
2014,1,1,19,0,10.65,12.040000000000001,11.35,13.21,13.540000000000001,15.290000000000001,17.92
2014,1,1,20,0,10.31,11.67,11,12.780000000000001,13.040000000000001,14.89,17.45
2014,1,1,21,0,9.26,10.53,9.91,11.620000000000001,12.13,14.26,17.150000000000002
2014,1,1,22,0,7.88,9.3,8.58,10.71,11.39,14.540000000000001,19.57
2014,1,1,23,0,10.93,12.32,11.64,13.32,13.72,16.2,23.09
2014,1,2,0,0,8.33,8.24,8.18,8.84,9.200000000000001,13.06,21.580000000000002
2014,1,2,1,0,7.23,8.03,7.61,8.620000000000001,9.05,12.3,18.7
2014,1,2,2,0,2.04,2.6,2.32,3.16,3.64,7.03,15.02
2014,1,2,3,0,4.74,4.8500000000000005,4.88,4.11,3.37,1.12,7.4
2014,1,2,4,0,6.9,7.23,7.07,7.53,7.69,8.51,5.46
2014,1,2,5,0,5.92,6,5.97,6,5.98,5.8,5.01
2014,1,2,6,0,4.66,4.7,4.69,4.67,4.65,4.5600000000000005,5.07
2014,1,2,7,0,4.44,4.42,4.44,4.34,4.29,4.04,4.59
2014,1,2,8,0,3.83,3.81,3.83,3.73,3.67,3.24,2.2800000000000002
2014,1,2,9,0,3.81,3.79,3.81,3.7,3.63,3.13,1.72
2014,1,2,10,0,4.38,4.36,4.38,4.2700000000000005,4.21,3.73,2.34
2014,1,2,11,0,3.61,3.52,3.5700000000000003,3.38,3.31,3.14,3.62
2014,1,2,12,0,2.84,2.67,2.7600000000000002,2.47,2.38,2.69,3.41
2014,1,2,13,0,1.3800000000000001,1.29,1.33,1.27,1.29,2.65,1.28
2014,1,2,14,0,1.57,1.42,1.49,1.31,1.28,1.95,1.9100000000000001
2014,1,2,15,0,2.24,2.25,2.22,2.54,2.83,4.14,2.08
2014,1,2,16,0,1.42,1.21,1.32,1.06,1.16,3.0100000000000002,0.48
2014,1,2,17,0,0.6,0.43,0.54,0.15,0.63,2.27,0.67
2014,1,2,18,0,1.04,0.91,0.99,0.74,0.78,2.11,2.29
2014,1,2,19,0,1,0.85,0.9500000000000001,0.71,0.85,2.86,3.77
2014,1,2,20,0,1.17,1.04,1.12,1.21,1.6300000000000001,3.8000000000000003,5.34
2014,1,2,21,0,0.54,0.11,0.46,1.1500000000000001,1.62,3.35,4.32
2014,1,2,22,0,0.16,0.78,0.32,1.73,2.13,3.39,4.03
